longitude        latitude        elevation           val1     val2
113.5440829     50.31135058     255.3617096          57      17
113.2991351     50.31681923     257.5424805          58      17
113.0541300     50.32173489     261.4933167          59      17
112.8090729     50.32609736     267.3024597          60      17
112.5639708     50.32990647     272.4310303          61      17
112.3188298     50.33316206     277.5593872          62      17
112.0736559     50.33586400     277.3641052          63      17
111.8284553     50.33801218     279.7620850          64      17
111.5832340     50.33960652     278.8439941          65      17
111.3379982     50.34064696     276.8013306          66      17
111.0927540     50.34113346     275.8596802          67      17
110.8475075     50.34106599     272.9089050          68      17
110.6022648     50.34044456     269.4418945          69      17
110.3570320     50.33926919     268.2561035          70      17
110.1118152     50.33753993     268.5223694          71      17
109.8666206     50.33525685     272.5716248          72      17
109.6214541     50.33242004     279.6547546          73      17
109.3763221     50.32902962     272.6088867          74      17
